variable,iv,iv_band
D10220000,13.226702,
D10232000,10.251298,
D1013A000,8.481194,
D10110000,7.823899,
D10133000,5.457518,
D10142D0T,4.780708,
C1L120170,3.079074,
C1L120082,3.055383,
C1M2B4W03,2.861452,
C1L120032,2.603639,
D10142D0N,2.477453,
C1L120017,2.47496,
C1L120169,2.39746,
C1L120084,2.37734,
C1M2B5W03,1.55542,
C1L120251,1.544939,
C1L120179,1.533509,
C1L120242,1.513204,
C1L120292,1.502635,
C1L120237,1.38549,
D1013A00T,1.263485,
L102100CP,1.132027,
L1021009P,1.112601,
L10216000,1.101386,
L1021006P,1.087806,
L1021003P,1.073076,
L1021001P,1.062248,
L10220000,1.054545,
L10210000,1.05172,
L10173000,1.018465,
C1L120250,0.896415,>=0.30
C1L120003,0.882568,>=0.30
AL012G019,0.649197,>=0.30
L10220800,0.610153,>=0.30
L10210800,0.606589,>=0.30
L90210300,0.48461,>=0.30
C1L120163,0.456077,>=0.30
L90216300,0.440849,>=0.30
C1Z001373,0.423964,>=0.30
C1L120004,0.417305,>=0.30
C1Z001386,0.391507,>=0.30
AL012G005,0.360479,>=0.30
C1L120168,0.349265,>=0.30
C1L120161,0.31131,>=0.30
C18210000,0.296263,0.10-0.30
U81203010,0.288206,0.10-0.30
U81201010,0.283321,0.10-0.30
U81204010,0.267223,0.10-0.30
L90210200,0.266494,0.10-0.30
L90216200,0.265556,0.10-0.30
L10210006,0.263151,0.10-0.30
U81202010,0.262654,0.10-0.30
L1021000C,0.229944,0.10-0.30
U81306010,0.217648,0.10-0.30
U81302010,0.213827,0.10-0.30
C1L120167,0.196345,0.10-0.30
AS120G001,0.120287,0.10-0.30
L10217000,0.107257,0.10-0.30
L10231000,0.082321,0.05-0.10
L1021000F,0.074926,0.05-0.10
U81305010,0.068722,0.05-0.10
C1L120041,0.060029,0.05-0.10
U81301010,0.060011,0.05-0.10
C18233004,0.059266,0.05-0.10
C18233005,0.059019,0.05-0.10
C1M210000,0.058076,0.05-0.10
C18233002,0.055566,0.05-0.10
C18233003,0.054804,0.05-0.10
L90216100,0.035692,0.02-0.05
AL012G011,0.025561,0.02-0.05
U81102010,0.02051,0.02-0.05
L1Z001044,0.010401,0.01-0.02
L90210100,0.005813,<0.01(제외)
U81205010,0.000652,<0.01(제외)
U81304010,0.000466,<0.01(제외)
U81103010,0.000329,<0.01(제외)
U81303010,2.9e-05,<0.01(제외)
C1811J003,0.0,<0.01(제외)
D1011000C,0.0,<0.01(제외)
D10142D0K,0.0,<0.01(제외)
C1811J006,0.0,<0.01(제외)
D10133800,0.0,<0.01(제외)
L90216106,0.0,<0.01(제외)
L10220B00,0.0,<0.01(제외)
L10216B00,0.0,<0.01(제외)
D10232003,0.0,<0.01(제외)
D10110003,0.0,<0.01(제외)
D1013A006,0.0,<0.01(제외)
D10210D00,0.0,<0.01(제외)
D10142D0I,0.0,<0.01(제외)
D1013380F,0.0,<0.01(제외)
L10217800,0.0,<0.01(제외)
L10210M00,0.0,<0.01(제외)
L10210003,0.0,<0.01(제외)
L10210B00,0.0,<0.01(제외)
D1013A00I,0.0,<0.01(제외)
D10133001,0.0,<0.01(제외)
L10210500,0.0,<0.01(제외)
L1022A000,0.0,<0.01(제외)
L10226B00,0.0,<0.01(제외)
C1M210006,0.0,<0.01(제외)
L10226M00,0.0,<0.01(제외)
L10220M00,0.0,<0.01(제외)
L10216800,0.0,<0.01(제외)
L10226800,0.0,<0.01(제외)
D1013A00N,0.0,<0.01(제외)
C1M210003,0.0,<0.01(제외)
D10133006,0.0,<0.01(제외)
D1011000F,0.0,<0.01(제외)
L1021A000,0.0,<0.01(제외)
L1022080C,0.0,<0.01(제외)
D10232006,0.0,<0.01(제외)
L10216M00,0.0,<0.01(제외)
L10210002,0.0,<0.01(제외)
D10110001,0.0,<0.01(제외)
D10232001,0.0,<0.01(제외)
L10217B00,0.0,<0.01(제외)
D10110006,0.0,<0.01(제외)
D10133003,0.0,<0.01(제외)
L10220806,0.0,<0.01(제외)
L10216806,0.0,<0.01(제외)
L90216700,0.0,<0.01(제외)
